Gmt time,Open,High,Low,Close,Volume
02.02.2017 05:00:00.000,1.30135,1.30135,1.29989,1.30057,7133549804.6875
02.02.2017 06:00:00.000,1.30059,1.30151,1.30000,1.30147,4800189941.4063
02.02.2017 07:00:00.000,1.30149,1.30275,1.30089,1.30108,6608799804.6875
02.02.2017 08:00:00.000,1.30111,1.30133,1.29841,1.29841,10135129882.8125
02.02.2017 09:00:00.000,1.29844,1.29952,1.29816,1.29886,9111080078.125
02.02.2017 10:00:00.000,1.29886,1.29970,1.29803,1.29954,9213120117.1875
02.02.2017 11:00:00.000,1.29953,1.30108,1.29871,1.29890,8230709960.9375
02.02.2017 12:00:00.000,1.29889,1.30129,1.29877,1.30065,9987969726.5625
02.02.2017 13:00:00.000,1.30062,1.30064,1.29808,1.29949,12888009765.625
02.02.2017 14:00:00.000,1.29949,1.30208,1.29890,1.30147,14464500000
02.02.2017 15:00:00.000,1.30147,1.30336,1.30101,1.30104,10982900390.625
02.02.2017 16:00:00.000,1.30104,1.30213,1.30024,1.30185,10595320312.5
02.02.2017 17:00:00.000,1.30186,1.30302,1.30133,1.30260,8190589843.75
02.02.2017 18:00:00.000,1.30258,1.30264,1.30141,1.30207,4973600097.6563
02.02.2017 19:00:00.000,1.30207,1.30324,1.30192,1.30268,4883569824.2188
02.02.2017 20:00:00.000,1.30269,1.30291,1.30182,1.30200,4676669921.875
02.02.2017 21:00:00.000,1.30199,1.30285,1.30181,1.30260,3116100097.6563
02.02.2017 22:00:00.000,1.30260,1.30299,1.30239,1.30252,2071889892.5781
02.02.2017 23:00:00.000,1.30252,1.30334,1.30250,1.30286,4390419921.875
03.02.2017 00:00:00.000,1.30284,1.30302,1.30238,1.30288,5398100097.6563
03.02.2017 01:00:00.000,1.30289,1.30355,1.30211,1.30224,8833200195.3125
03.02.2017 02:00:00.000,1.30224,1.30315,1.30213,1.30296,6226310058.5938
03.02.2017 03:00:00.000,1.30296,1.30394,1.30247,1.30316,6793870117.1875
03.02.2017 04:00:00.000,1.30316,1.30316,1.30244,1.30275,6040540039.0625
03.02.2017 05:00:00.000,1.30275,1.30321,1.30273,1.30286,6921770019.5313
03.02.2017 06:00:00.000,1.30286,1.30370,1.30263,1.30328,4206500000
03.02.2017 07:00:00.000,1.30329,1.30348,1.30245,1.30294,4977279785.1563
03.02.2017 08:00:00.000,1.30295,1.30319,1.30229,1.30282,7644500000
03.02.2017 09:00:00.000,1.30283,1.30389,1.30266,1.30357,7006000000
